video_id,title,active_since_days,duration_seconds,total_views,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment
v=XHTofu5wbbM,SUPER LAZY LIFE HACKS || Cool Hacks To Make Your Life Easier,22,623,295614,60,12,2,4,0,2,5.0,0,0,0.14444444444444443
v=HGxx0umIQvk,YUM! EASY SMART FOOD HACKS || Tasty Recipes For The Whole Family & Ideas To Avoid Fails,1,739,130544,87,17,4,5,0,3,5.117647058823529,0,0,0.08690476190476193
v=Tt4RMk3Ih04,HELPFUL LIFE HACKS FOR YOUR HOUSE,1,960,17834,33,6,0,6,0,2,5.5,0,0,0.0
v=A2MTydM5e58,USEFUL HACKS FOR YOUR HOME || Simple Tips That Work Extremely Well,30,833,3128867,66,12,2,5,0,3,5.5,0,0,0.05833333333333333
v=_halJ4yrmGQ,ARE YOU A CRAFTY MOM? Amazing Parenting Hacks And Crafts,15,3600,4210362,56,10,1,5,0,4,5.6,0,0,0.5
v=hkgV_8n-iI0,100+ HACKS & GADGETS FOR COOL PARENTS,6,3600,90733,37,7,2,5,0,1,5.285714285714286,1,1,0.35
v=vws8zmRT_T8,30 BEST HACKS FOR EVERY LIFE SITUATION,60,900,1081439,38,7,0,6,0,1,5.428571428571429,1,1,1.0
v=Yd1l0j6L5x0,KID'S ROOM MAKEOVER IDEAS || Awesome Home Decorating Hacks,2,3660,582492,58,9,3,4,0,0,6.444444444444445,0,0,1.0
v=pE-56vEmRXc,Brilliant Clothing Hacks For Adults and Their Kids,3,900,471701,50,8,0,0,1,3,6.25,0,0,0.9
v=HMbDPgINfto,BRILLIANT LIFE HACKS FOR ANY SITUATION,90,3600,11175800,38,6,0,6,0,2,6.333333333333333,0,0,0.9
v=M_VOXuDahK4,OMG! Smart Pet Owners Should See These Gadgets & Hacks,2,900,169398,54,10,2,1,0,2,5.4,0,0,0.21428571428571427
v=ClWB74ckty4,CLEVER WAYS TO HIDE YOUR TREASURES || Useful Home Hacks & Tips,3,960,179509,62,12,3,6,0,2,5.166666666666667,0,0,0.23333333333333334
v=tHQotkSqTZY,SMART GADGETS TO MAKE YOUR LIFE EASIER,3,711,495602,38,7,0,7,0,2,5.428571428571429,0,0,0.21428571428571427
v=osC4u-k_0rM,SOAP BUBBLES CHALLENGE with 5-MINUTE CRAFTS #shorts,4,12,335063,51,7,2,5,2,1,7.285714285714286,1,0,0.0
